sample	type
CID3941	ER+
CID3946	TNBC
CID3948	ER+
CID3963	ER+
CID4040	ER+
CID4067	ER+
CID4290A	ER+
CID4398	ER+
CID44041	TNBC
CID4461	ER+
CID4463	ER+
CID4465	TNBC
CID4471	ER+
CID4495	TNBC
CID44971	TNBC
CID44991	TNBC
CID4513	TNBC
CID4515	TNBC
CID4523	TNBC
CID4530N	ER+
CID4535	ER+
